Vivado Simulator 2019.1
Time resolution is 1 ps
WARNING: File reg_init.mem referenced on C:/Users/yashw/RISC-V_PROJECT.srcs/sources_1/new/reg_file.sv at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
==== RISC-V Top Module Testbench Started ====
Time: 10000 | PC=0x00000000 | Inst=0x00500093 | rs1=x0=0x00000000 | rs2=x5=0xxxxxxxxx | rd=x1 | alu_op=0000 | alu_result=0x00000005 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 20000 | PC=0x00000004 | Inst=0x00a00113 | rs1=x0=0x00000000 | rs2=x10=0xxxxxxxxx | rd=x2 | alu_op=0000 | alu_result=0x0000000a | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 30000 | PC=0x00000008 | Inst=0x00f00193 | rs1=x0=0x00000000 | rs2=x15=0xxxxxxxxx | rd=x3 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 40000 | PC=0x0000000c | Inst=0x0ff00213 | rs1=x0=0x00000000 | rs2=x31=0xxxxxxxxx | rd=x4 | alu_op=0000 | alu_result=0x000000ff | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 50000 | PC=0x00000010 | Inst=0x123452b7 | rs1=x8=0xxxxxxxxx | rs2=x3=0x0000000f | rd=x5 | alu_op=0000 | alu_result=0xxxxxxxxx | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 60000 | PC=0x00000014 | Inst=0x00208333 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x6 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 70000 | PC=0x00000018 | Inst=0x401183b3 | rs1=x3=0x0000000f | rs2=x1=0x00000005 | rd=x7 | alu_op=0001 | alu_result=0x0000000a | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 80000 | PC=0x0000001c | Inst=0x00009433 | rs1=x1=0x00000005 | rs2=x0=0x00000000 | rd=x8 | alu_op=0010 | alu_result=0x00000005 | MemRW=0 | RegWrite=1 | MemOut=0x000000a3
Time: 90000 | PC=0x00000020 | Inst=0x0030a4b3 | rs1=x1=0x00000005 | rs2=x3=0x0000000f | rd=x9 | alu_op=0011 | alu_result=0x00000001 | MemRW=0 | RegWrite=1 | MemOut=0x00000001
Time: 100000 | PC=0x00000024 | Inst=0x0002b533 | rs1=x5=0xxxxxxxxx | rs2=x0=0x00000000 | rd=x10 | alu_op=0100 | alu_result=0x0000000X | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 110000 | PC=0x00000028 | Inst=0x0020c5b3 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x11 | alu_op=0101 | alu_result=0x0000000f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 120000 | PC=0x0000002c | Inst=0x00025633 | rs1=x4=0x000000ff | rs2=x0=0x00000000 | rd=x12 | alu_op=0110 | alu_result=0x000000ff | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 130000 | PC=0x00000030 | Inst=0x0020e733 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x14 | alu_op=1000 | alu_result=0x0000000f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 140000 | PC=0x00000034 | Inst=0x0020f7b3 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x15 | alu_op=1001 | alu_result=0x00000000 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 150000 | PC=0x00000038 | Inst=0x00a0a813 | rs1=x1=0x00000005 | rs2=x10=0x0000000X | rd=x16 | alu_op=0011 | alu_result=0x00000001 | MemRW=0 | RegWrite=1 | MemOut=0x00000001
Time: 160000 | PC=0x0000003c | Inst=0x00a0b893 | rs1=x1=0x00000005 | rs2=x10=0x0000000X | rd=x17 | alu_op=0100 | alu_result=0x00000001 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 170000 | PC=0x00000040 | Inst=0x0010c913 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x18 | alu_op=0101 | alu_result=0x00000004 | MemRW=0 | RegWrite=1 | MemOut=0x000000a3
